num,Type,version,FBR,FCR
0,SFG,release-1.0.0,14.2173913,17
1,SFG,release-1.2.0,12.78125,15.53125
2,SFG,release-1.3.0,9.321428571,9.609375
3,SFG,release-1.3.1,9.160714286,9.46875
4,SFG,release-1.3.2,9.142857143,9.453125
5,SFG,release-1.3.3,9.053571429,9.453125
6,SFG,release-1.3.3-rc0,9.053571429,9.453125
7,SFG,release-1.3.3-rc1,9.053571429,9.453125
8,SFG,release-1.4.0,6.166666667,6.940594059
9,SFG,release-1.4.0-rc1,6.233333333,6.940594059
10,SFG,release-1.4.0-rc3,6.233333333,6.940594059
11,SFG,release-1.4.1,5.989247312,6.8
12,SFG,release-1.4.1-rc0,5.989247312,6.8
13,SFG,release-1.5.0,4.460869565,4.782608696
14,SFG,release-1.5.0-rc0,4.495652174,4.782608696
15,SFG,release-1.5.0-rc1,4.495652174,4.782608696
16,SFG,release-1.5.0-rc2,4.495652174,4.782608696
17,SFG,release-1.5.0-rc3,4.460869565,4.782608696
18,SFG,release-1.5.1,4.347826087,4.782608696
19,SFG,release-1.5.2,4.115702479,4.727272727
20,SFG,release-1.5.2-rc0,4.2,4.782608696
21,SFG,release-1.5.2-rc1,4.115702479,4.727272727
22,SFG,release-1.5.3,4.276422764,4.943089431
23,SFG,release-1.5.4,4.260162602,4.943089431
24,SFG,release-1.5.4-rc0,4.260162602,4.943089431
25,SFG,release-1.6.0,3,3.092592593
26,SFG,release-1.6.0-rc0,3.019230769,3.111111111
27,SFG,release-1.6.0-rc1,3,3.092592593
28,SFG,release-1.6.1,2.942307692,3.037037037
29,SFG,release-1.6.1-rc0,2.942307692,3.037037037
30,SFG,release-1.6.2,2.698113208,2.781818182
31,SFG,release-1.6.2-rc0,2.698113208,2.781818182
32,SFG,release-1.6.2-rc1,2.698113208,2.781818182
33,SFG,release-1.6.3,2.698113208,2.781818182
34,SFG,release-1.6.3-rc0,2.698113208,2.781818182
35,SFG,release-1.7.0,3.02173913,3.086956522
36,SFG,release-1.7.0-rc1,3.02173913,3.086956522
37,SFG,release-1.7.1,2.590909091,2.632352941
38,SFG,release-1.7.1-rc0,2.590909091,2.632352941
39,SFG,release-1.7.2,2.441176471,2.471428571
40,SFG,release-1.7.2-rc0,2.441176471,2.471428571
41,SFG,release-1.7.3,2.104477612,2.115942029
42,SFG,release-1.7.3-rc0,2.104477612,2.115942029
43,SFG,release-1.7.3-rc1,2.104477612,2.115942029
44,SFG,release-1.7.3-rc2,2.104477612,2.115942029
45,SFG,release-1.7.4,1.890410959,1.88
46,SFG,release-1.7.4-rc0,1.890410959,1.906666667
47,SFG,release-1.7.4-rc1,1.917808219,1.906666667
48,SFG,release-1.7.4-rc2,1.890410959,1.88
49,SFG,release-1.7.5,1.563380282,1.563380282
50,SFG,release-1.7.5-rc0,1.563380282,1.563380282
51,SFG,release-1.7.6,1.31884058,1.31884058
52,SFG,release-1.7.6-rc0,1.323529412,1.323529412
53,SFG,release-1.7.7,1.295774648,1.295774648
54,SFG,release-1.7.7-rc0,1.295774648,1.295774648
55,SFG,release-1.8.0,1,1
56,SFG,release-1.8.0-rc0,1.071428571,1.071428571
57,SFG,release-1.8.0-rc1,1,1
58,SFG,release-1.8.0-rc2,1,1
59,SFG,release-1.8.0-rc3,1,1
60,SFG,release-1.8.1,1,1
61,SFG,release-1.8.1-rc0,1,1
62,SFG,release-1.8.1-rc1,1,1
63,SFG,release-1.8.2-rc1,2,1.269662921
64,SFG,release-1.8.2-rc1,0,0
0,AFG,release-1.0.0,1.205882353,1.087188612
1,AFG,release-1.2.0,1.151029748,1.0433213
2,AFG,release-1.3.0,1.009456265,0.880650995
3,AFG,release-1.3.1,1.002364066,0.87522604
4,AFG,release-1.3.2,1,0.875
5,AFG,release-1.3.3,0.992907801,0.875
6,AFG,release-1.3.3-rc0,0.992907801,0.875
7,AFG,release-1.3.3-rc1,0.992907801,0.875
8,AFG,release-1.4.0,0.915048544,0.791208791
9,AFG,release-1.4.0-rc1,0.922330097,0.791208791
10,AFG,release-1.4.0-rc3,0.922330097,0.791208791
11,AFG,release-1.4.1,0.90776699,0.791208791
12,AFG,release-1.4.1-rc0,0.90776699,0.791208791
13,AFG,release-1.5.0,0.8075,0.743486974
14,AFG,release-1.5.0-rc0,0.812967581,0.743486974
15,AFG,release-1.5.0-rc1,0.812967581,0.743486974
16,AFG,release-1.5.0-rc2,0.810473815,0.743486974
17,AFG,release-1.5.0-rc3,0.8075,0.743486974
18,AFG,release-1.5.1,0.7875,0.743486974
19,AFG,release-1.5.2,0.77,0.743486974
20,AFG,release-1.5.2-rc0,0.77,0.743486974
21,AFG,release-1.5.2-rc1,0.77,0.743486974
22,AFG,release-1.5.3,0.765,0.743486974
23,AFG,release-1.5.4,0.7625,0.743486974
24,AFG,release-1.5.4-rc0,0.7625,0.743486974
25,AFG,release-1.6.0,0.671755725,0.612244898
26,AFG,release-1.6.0-rc0,0.679389313,0.618367347
27,AFG,release-1.6.0-rc1,0.671755725,0.612244898
28,AFG,release-1.6.1,0.664122137,0.606122449
29,AFG,release-1.6.1-rc0,0.664122137,0.606122449
30,AFG,release-1.6.2,0.611825193,0.555327869
31,AFG,release-1.6.2-rc0,0.611825193,0.555327869
32,AFG,release-1.6.2-rc1,0.611825193,0.555327869
33,AFG,release-1.6.3,0.604113111,0.549180328
34,AFG,release-1.6.3-rc0,0.604113111,0.549180328
35,AFG,release-1.7.0,0.56443299,0.510288066
36,AFG,release-1.7.0-rc1,0.56443299,0.510288066
37,AFG,release-1.7.1,0.571428571,0.512765957
38,AFG,release-1.7.1-rc0,0.571428571,0.512765957
39,AFG,release-1.7.2,0.536986301,0.496688742
40,AFG,release-1.7.2-rc0,0.536986301,0.496688742
41,AFG,release-1.7.3,0.493150685,0.46
42,AFG,release-1.7.3-rc0,0.493150685,0.46
43,AFG,release-1.7.3-rc1,0.493150685,0.46
44,AFG,release-1.7.3-rc2,0.493150685,0.46
45,AFG,release-1.7.4,0.429752066,0.409610984
46,AFG,release-1.7.4-rc0,0.429752066,0.411899314
47,AFG,release-1.7.4-rc1,0.432506887,0.411899314
48,AFG,release-1.7.4-rc2,0.429752066,0.409610984
49,AFG,release-1.7.5,0.351123596,0.349168646
50,AFG,release-1.7.5-rc0,0.351123596,0.349168646
51,AFG,release-1.7.6,0.295977011,0.29950495
52,AFG,release-1.7.6-rc0,0.295977011,0.29950495
53,AFG,release-1.7.7,0.234104046,0.242346939
54,AFG,release-1.7.7-rc0,0.234104046,0.242346939
55,AFG,release-1.8.0,0.114551084,0.145400593
56,AFG,release-1.8.0-rc0,0.134556575,0.158823529
57,AFG,release-1.8.0-rc1,0.12345679,0.145400593
58,AFG,release-1.8.0-rc2,0.12345679,0.145400593
59,AFG,release-1.8.0-rc3,0.114551084,0.145400593
60,AFG,release-1.8.1,0.685714286,0.145400593
61,AFG,release-1.8.1-rc0,0.685714286,0.145400593
62,AFG,release-1.8.1-rc1,0.685714286,0.638297872
63,AFG,release-1.8.2-rc1,0.75,0.145400593
64,AFG,release-1.8.2-rc1,0,0
0,BFG,release-1.0.0,4.343483557,4.457978076
1,BFG,release-1.2.0,4.096224117,4.209500609
2,BFG,release-1.3.0,3.624847747,3.724725944
3,BFG,release-1.3.1,3.607795371,3.707673569
4,BFG,release-1.3.2,3.604141291,3.704019488
5,BFG,release-1.3.3,3.604141291,3.704019488
6,BFG,release-1.3.3-rc0,3.604141291,3.704019488
7,BFG,release-1.3.3-rc1,3.604141291,3.704019488
8,BFG,release-1.4.0,3.343483557,3.438489647
9,BFG,release-1.4.0-rc1,3.343483557,3.438489647
10,BFG,release-1.4.0-rc3,3.343483557,3.438489647
11,BFG,release-1.4.1,3.343483557,3.438489647
12,BFG,release-1.4.1-rc0,3.343483557,3.438489647
13,BFG,release-1.5.0,2.975639464,3.066991474
14,BFG,release-1.5.0-rc0,2.975639464,3.066991474
15,BFG,release-1.5.0-rc1,2.975639464,3.066991474
16,BFG,release-1.5.0-rc2,2.975639464,3.066991474
17,BFG,release-1.5.0-rc3,2.975639464,3.066991474
18,BFG,release-1.5.1,2.975639464,3.066991474
19,BFG,release-1.5.2,2.975639464,3.066991474
20,BFG,release-1.5.2-rc0,2.975639464,3.066991474
21,BFG,release-1.5.2-rc1,2.975639464,3.066991474
22,BFG,release-1.5.3,2.975639464,3.066991474
23,BFG,release-1.5.4,2.975639464,3.066991474
24,BFG,release-1.5.4-rc0,2.975639464,3.066991474
25,BFG,release-1.6.0,2.705237515,2.78319123
26,BFG,release-1.6.0-rc0,2.711327649,2.789281364
27,BFG,release-1.6.0-rc1,2.705237515,2.78319123
28,BFG,release-1.6.1,2.69183922,2.769792935
29,BFG,release-1.6.1-rc0,2.69183922,2.769792935
30,BFG,release-1.6.2,2.615103532,2.69183922
31,BFG,release-1.6.2-rc0,2.615103532,2.69183922
32,BFG,release-1.6.2-rc1,2.615103532,2.69183922
33,BFG,release-1.6.3,2.610231425,2.686967113
34,BFG,release-1.6.3-rc0,2.610231425,2.686967113
35,BFG,release-1.7.0,2.570036541,2.643118149
36,BFG,release-1.7.0-rc1,2.570036541,2.643118149
37,BFG,release-1.7.1,2.500609013,2.573690621
38,BFG,release-1.7.1-rc0,2.500609013,2.573690621
39,BFG,release-1.7.2,2.447015834,2.520097442
40,BFG,release-1.7.2-rc0,2.447015834,2.520097442
41,BFG,release-1.7.3,2.392204629,2.465286236
42,BFG,release-1.7.3-rc0,2.392204629,2.465286236
43,BFG,release-1.7.3-rc1,2.392204629,2.465286236
44,BFG,release-1.7.3-rc2,2.392204629,2.465286236
45,BFG,release-1.7.4,2.302070646,2.3727162
46,BFG,release-1.7.4-rc0,2.304506699,2.375152253
47,BFG,release-1.7.4-rc1,2.304506699,2.375152253
48,BFG,release-1.7.4-rc2,2.302070646,2.3727162
49,BFG,release-1.7.5,2.147381242,2.211936663
50,BFG,release-1.7.5-rc0,2.147381242,2.211936663
51,BFG,release-1.7.6,2.031668697,2.096224117
52,BFG,release-1.7.6-rc0,2.031668697,2.096224117
53,BFG,release-1.7.7,1.964677223,2.028014616
54,BFG,release-1.7.7-rc0,1.964677223,2.028014616
55,BFG,release-1.8.0,1.771010962,1.822168088
56,BFG,release-1.8.0-rc0,1.800243605,1.851400731
57,BFG,release-1.8.0-rc1,1.771010962,1.822168088
58,BFG,release-1.8.0-rc2,1.771010962,1.822168088
59,BFG,release-1.8.0-rc3,1.771010962,1.822168088
60,BFG,release-1.8.1,1.771010962,1.822168088
61,BFG,release-1.8.1-rc0,1.771010962,1.822168088
62,BFG,release-1.8.1-rc1,1.347137637,1.398294762
63,BFG,release-1.8.2-rc1,1.771010962,1.822168088
64,BFG,release-1.8.2-rc1,0,0
